Clade	Taxon	Eggshell_thickness	Egg_mass	Type_2021	Type_Norell	Type_Legendre
Neognaths	Prinia_gracilis	69	1.12	Hard	Hard	Hard
Neognaths	Carduelis_carduelis	70	1.23	Hard	Hard	Hard
Neognaths	Passer_moabiticus	88	1.5	Hard	Hard	Hard
Neognaths	Muscicapa_striata	76	1.85	Hard	Hard	Hard
Neognaths	Chloris_chloris	68	1.94	Hard	Hard	Hard
Neognaths	Melopsittacus_undulatus	116	2.25	Hard	Hard	Hard
Neognaths	Cercotrichas_galactotes	80	2.3	Hard	Hard	Hard
Neognaths	Lanius_nubicus	95	2.46	Hard	Hard	Hard
Neognaths	Passer_domesticus	102	2.76	Hard	Hard	Hard
Neognaths	Galerida_cristata	95	2.93	Hard	Hard	Hard
Neognaths	Pycnonotus_capensis	83	3.05	Hard	Hard	Hard
Neognaths	Turdus_merula	122	6.36	Hard	Hard	Hard
Neognaths	Streptopelia_senegalensis	120	6.63	Hard	Hard	Hard
Neognaths	Streptopelia_decaocto	132	7.45	Hard	Hard	Hard
Neognaths	Streptopelia_risoria	119	8.03	Hard	Hard	Hard
Neognaths	Streptopelia_turtur	137	8.3	Hard	Hard	Hard
Neognaths	Glareola_pratincola	151	8.42	Hard	Hard	Hard
Neognaths	Falco_naumanni	194	10.84	Hard	Hard	Hard
Neognaths	Athene_noctua	187	14	Hard	Hard	Hard
Neognaths	Chlidonias_leucoptera	148	14.04	Hard	Hard	Hard
Neognaths	Gallinula_chloropus	229	14.29	Hard	Hard	Hard
Neognaths	Corvus_corone	177	14.99	Hard	Hard	Hard
Neognaths	Falco_tinnunculus	242	18.09	Hard	Hard	Hard
Neognaths	Alectoris_graeca	278	18.23	Hard	Hard	Hard
Neognaths	Himantopus_himantopus	185	18.51	Hard	Hard	Hard
Neognaths	Tyto_alba	241	18.71	Hard	Hard	Hard
Neognaths	Sterna_hirundo	171	19.5	Hard	Hard	Hard
Neognaths	Nycticorax_nycticorax	205	20.75	Hard	Hard	Hard
Neognaths	Bubulcus_ibis	204	23.22	Hard	Hard	Hard
Neognaths	Egretta_garzetta	218	28.52	Hard	Hard	Hard
Neognaths	Phasianus_colchicus	308	29.22	Hard	Hard	Hard
Neognaths	Burhinus_oedicnemus	266	33.51	Hard	Hard	Hard
Neognaths	Gallus_domesticus	295	35.88	Hard	Hard	Hard
Neognaths	Strix_aluco	268	36.14	Hard	Hard	Hard
Neognaths	Chroicocephalus_ridibundus	231	37.5	Hard	Hard	Hard
Neognaths	Ardea_cinerea	242	49.6	Hard	Hard	Hard
Neognaths	Geronticus_eremita	394	50.16	Hard	Hard	Hard
Neognaths	Anas_platyrhynchos	315	54	Hard	Hard	Hard
Neognaths	Buteo_rufinus	371	60.72	Hard	Hard	Hard
Neognaths	Bubo_bubo	349	69.3	Hard	Hard	Hard
Neognaths	Ciconia_ciconia	502	78.78	Hard	Hard	Hard
Neognaths	Aquila_rapax	520	92.83	Hard	Hard	Hard
Neognaths	Anser_anser	741	173.01	Hard	Hard	Hard
Neognaths	Gyps_fulvus	676	243.88	Hard	Hard	Hard
Neognaths	Cinnyris_osea	52	0.86	Hard	Hard	Hard
Non-avian_dinosaurs	Elongatoolithidae	1300	323	Hard	Hard	Hard
Non-avian_dinosaurs	Elongatoolithus_andrewsi	980	384	Hard	Hard	Hard
Non-avian_dinosaurs	Lourinhanosaurus_antunesi	900	643	Hard	Hard	Hard
Non-avian_dinosaurs	Macroelongatoolithus_xixianensis	2100	3145	Hard	Hard	Hard
Non-avian_dinosaurs	Prismatoolithus_levis_troodontid	1000	331	Hard	Hard	Hard
Non-avian_dinosaurs	indet_theropod1	300	168	Hard	Hard	Hard
Non-avian_dinosaurs	indet_theropod2	1300	224	Hard	Hard	Hard
Non-avian_dinosaurs	indet_theropod3	1200	210	Hard	Hard	Hard
Non-avian_dinosaurs	indet_theropod4	1300	273	Hard	Hard	Hard
